,Q_ccgt
0,25.0
1,29.0
2,26.0
3,28.000000000000004
4,27.0
5,29.0
6,33.0
7,31.0
8,30.999999999999996
9,31.0
10,32.0
11,32.0
12,35.0
13,33.0
14,33.0
15,33.00000000000001
16,30.999999999999996
17,38.0
18,34.99999999999999
19,37.0
20,38.0
21,38.0
22,39.0
23,39.0
24,39.0
25,44.00000000000001
26,40.0
27,39.0
28,43.0
29,43.00000000000001
30,44.00000000000001
31,44.0
32,43.0
33,43.99999999999999
34,44.0
35,45.0
36,45.0
37,46.000000000000014
38,49.36064992148086
39,49.0
40,49.81976712403848
41,49.98728346353786
42,49.99812723573313
43,49.998870619743755
44,49.99892154970753
45,49.998925034709025
46,49.99892527328039
47,49.99892528961453
48,49.99892529063224
49,49.998925290693066
50,49.99892529079729
51,49.998925290813226
52,49.99892529071426
53,49.998925290798695
54,49.99892529081332
55,49.99892529071428
56,49.862246498945126
57,49.97375317036571
58,49.00000000000001
59,49.81514226253461
60,49.0
61,43.000000000000014
62,43.0
63,43.0
64,37.99999999999999
65,41.0
66,37.00000000000001
67,37.0
68,35.97030933033441
69,35.63852445908457
70,35.85646998800738
71,38.357071823901734
72,39.82729917657274
73,43.0
74,42.46551347446115
75,44.00000000000001
76,49.04380174776718
77,49.93661811928072
78,49.99465424756893
79,49.998632726661384
80,49.99890527129884
81,49.99892392080722
82,49.99892519695649
83,49.998925284282926
84,49.99892529025863
85,49.99892529066756
86,49.998925290695524
87,49.99892529069746
88,49.0
89,44.99999999999999
90,38.0
91,34.0
92,27.999999999999996
93,26.999999999999996
94,26.0
95,25.20264418328354
