,Cost
1,22472.362652243304
2,22329.416426234206
3,21926.617145624055
4,22016.5641937514
5,21994.008683033382
6,21968.496849097595
7,22024.707735009237
8,21785.606880494834
9,21828.33744105195
10,21890.29074449835
11,21741.04142699451
12,21685.440406216272
13,21607.92618623638
14,21852.12284712196
15,21979.21336854403
16,21859.06655202325
17,21639.075123653194
18,21508.79986766476
19,21698.83539013264
20,21499.388311173578
21,21522.358709055683
22,21500.11624227355
23,21689.094243386513
24,21507.979307036607
25,21663.463509344627
26,21453.85966694553
27,21652.608794667292
28,21672.90152993959
29,21621.978216858217
30,21328.3634479775
31,21769.709440471965
32,21827.95491306812
33,21647.5948830622
34,21570.118134598284
35,21612.279737707755
36,21567.673111069944
37,21448.121200409278
38,21606.06065743167
39,21571.259850304195
40,21501.52563679604
41,21751.56795309295
42,21664.30858392775
43,21567.723663247678
44,21608.92171156446
45,21675.68365360274
46,21707.865292631006
47,21522.337675481762
48,21543.70659230678
49,21587.45662838869
50,21527.3875862099
51,21765.294305431413
52,21586.038958721816
53,21587.571495518583
54,21687.684671007213
55,21583.232145791222
56,21439.503966183802
57,21541.672388516934
58,21620.867217284715
59,21709.935570783833
60,21502.713072915998
61,21490.529766829153
62,21417.74301022012
63,21571.737572362093
64,21488.269897510618
65,21710.3186398254
66,21381.588827468637
67,21252.099350491524
68,21397.233360443613
69,21431.81498810342
70,21532.817834104295
71,21664.090121156572
72,21741.08293797765
73,21497.488656125963
74,21545.20669461469
75,21689.447875233993
76,21406.160431634467
77,21509.746271295087
78,21613.753122310503
79,21552.16549818051
80,21685.395401143418
81,21548.537298451432
82,21501.792476334704
83,21570.26770307365
84,21502.54437725158
85,21559.869111066895
86,21578.517866089976
87,21444.56081710879
88,21663.09649370541
89,21513.94529287814
90,21671.410631902407
91,21548.44743569927
92,21614.619798222324
93,21372.669999409296
94,21408.43766248772
95,21505.28958753278
96,21438.82265371608
97,21456.696336638204
98,21616.453568279234
99,21549.08956475045
100,21686.19833174489
101,21617.334436041034
102,21478.29314485272
103,21576.30489358047
104,21651.829954788
105,21590.355189703547
106,21496.148119835612
107,21711.89063548064
108,21536.50746662201
109,21536.865626566243
110,21600.195190790237
111,21480.00558955501
112,21699.04471689531
113,21565.800437778944
114,21637.20470354046
115,21571.387692851924
116,21569.516101890527
117,21598.584022317682
118,21499.94070774698
119,21457.783635470496
120,21527.503798353617
121,21579.91586251578
122,21702.314040713078
123,21512.081916622385
124,21723.819466200493
125,21447.299603641004
126,21518.8544201745
127,21672.11693383643
128,21613.440315252436
129,21538.954286937857
130,21622.672867467718
131,21505.471344649726
132,21535.122297589245
133,21754.886864023607
134,21486.09042651776
135,21378.90373861567
136,21534.769904224282
137,21420.296112970806
138,21619.638247388633
139,21722.76665091054
140,21578.974909187215
141,21652.437239534465
142,21522.45478267329
143,21680.452333570276
144,21596.74904137801
145,21687.337055293585
146,21709.141096169707
147,21723.026755360515
148,21588.075597006828
149,21765.541678888283
150,21532.50199262651
151,21570.702984500665
152,21596.375621614752
153,21508.363446484538
154,21426.37769449643
155,21678.216972495233
156,21415.772955825134
157,21628.30360804368
158,21662.4448298359
159,21611.48152594451
160,21521.21911412774
161,21689.86071352024
162,21480.379198324496
163,21839.303644356754
164,21595.803493642627
165,21584.014833645
166,21569.062458196648
167,21451.692295194378
168,21623.72814919094
169,21470.463159238047
170,21536.853005150042
171,21437.793655195757
172,21409.63280884877
173,21608.133618783086
174,21495.815211114103
175,21687.030233069876
176,21397.316096168975
177,21551.033879583367
178,21582.414697683886
179,21569.04600190837
180,21623.40618535163
181,21626.614077431997
182,21429.150374327175
183,21623.690995650955
184,21381.62085109467
185,21491.646550161808
186,21544.957880598457
187,21489.191388929285
188,21453.534039906033
189,21571.577044479593
190,21756.032960748806
191,21325.765517955664
192,21650.188829822633
193,21602.580844439886
194,21462.908911163096
195,21367.654797283954
196,21615.251487023
197,21652.407090462275
198,21641.654913041948
199,21547.49013532828
200,21502.08399231531
201,21624.694706569524
202,21491.81755037131
203,21373.38015566473
204,21486.688157284185
205,21375.351731669936
206,21436.663723333186
207,21587.330843209726
208,21560.594868117085
209,21369.004056342434
210,21483.59628043879
211,21698.508526996404
212,21572.129765903126
