intervals,Q_CCGT
1.0,25.0
2.0,27.184033084232993
3.0,26.0
4.0,26.382305289868267
5.0,25.474387358917838
6.0,25.77216449529118
7.0,28.000000000000007
8.0,26.0
9.0,26.0
10.0,26.0
11.0,27.000000000000004
12.0,27.0
13.0,29.999999999999996
14.0,28.0
15.0,28.0
16.0,28.0
17.0,26.0
18.0,33.0
19.0,30.000000000000004
20.0,32.0
21.0,33.0
22.0,33.0
23.0,34.0
24.0,34.0
25.0,34.0
26.0,39.0
27.0,35.0
28.0,34.0
29.0,38.0
30.0,38.0
31.0,39.0
32.0,38.99999999999999
33.0,38.0
34.0,39.0
35.0,39.0
36.0,40.0
37.0,40.0
38.0,41.0
39.0,46.0
40.0,44.0
41.0,45.0
42.0,46.0
43.0,47.00000000000001
44.0,47.0
45.0,49.57361837881807
46.0,49.9710316596082
47.0,49.997021217789325
48.0,49.9987948794172
49.0,49.9989163662218
50.0,49.99892468001047
51.0,49.99892524890862
52.0,49.99892528783801
53.0,49.99892529050192
54.0,49.99892529068423
55.0,49.99892529069669
56.0,49.0
57.0,49.0
58.0,48.99999999999999
59.0,46.137743864161195
60.0,46.27675510786648
61.0,46.62357760668573
62.0,43.0
63.0,43.0
64.0,43.0
65.0,38.0
66.0,41.0
67.0,37.0
68.0,37.0
69.0,34.0
70.0,35.0
71.0,34.0
72.0,37.0
73.0,37.0
74.0,43.0
75.0,42.0
76.0,44.0
77.0,49.17700558115001
78.0,49.944954483770445
79.0,49.99524074569832
80.0,49.99867294019849
81.0,49.99890802155719
82.0,49.99892410899817
83.0,49.99892520983447
84.0,49.998925285164205
85.0,49.998925290318944
86.0,49.99892529067168
87.0,49.998925290695816
88.0,46.55679732950401
89.0,45.51039419275975
90.0,43.263112930897336
91.0,38.0
92.0,34.0
93.0,28.0
94.0,27.0
95.0,26.0
96.0,24.0
