,Q_CCGT
0,25
1,29
2,26
3,28
4,27
5,29
6,33
7,31
8,31
9,31
10,32
11,32
12,35
13,33
14,33
15,33
16,31
17,38
18,35
19,37
20,38
21,38
22,39
23,39
24,39
25,44
26,40
27,39
28,43
29,43
30,44
31,44
32,43
33,44
34,44
35,45
36,45
37,46
38,49.36064992
39,49
40,49.81976712
41,49.98728346
42,49.99812724
43,49.99887062
44,49.99892155
45,49.99892503
46,49.99892527
47,49.99892529
48,49.99892529
49,49.99892529
50,49.99892529
51,49.99892529
52,49.99892529
53,49.99892529
54,49.99892529
55,49.99892529
56,49.8622465
57,49.97375317
58,49
59,49.81514226
60,49
61,43
62,43
63,43
64,38
65,41
66,37
67,37
68,35.97030933
69,35.63852446
70,35.85646999
71,38.35707182
72,39.82729918
73,43
74,42.46551347
75,44
76,49.04380175
77,49.93661812
78,49.99465425
79,49.99863273
80,49.99890527
81,49.99892392
82,49.9989252
83,49.99892528
84,49.99892529
85,49.99892529
86,49.99892529
87,49.99892529
88,49
89,45
90,38
91,34
92,28
93,27
94,26
95,25.20264418
