,Q_CCGT
0,15
1,15
2,15
3,15
4,15.05642655
5,16.55642655
6,15.91526233
7,16.34590962
8,16.97588686
9,18.32669072
10,19.82669072
11,21.32669072
12,22.54862233
13,23.45382745
14,24.05607242
15,24.4545938
16,24.74364754
17,25
18,25.26060177
19,25.53210073
20,25.80123549
21,26.04986806
22,26.29349389
23,26.524928
24,26.78832794
25,27.11315051
26,27.46390552
27,27.80470996
28,28.10113288
29,28.3387909
30,28.51850148
31,28.65267032
32,28.7568532
33,28.84463691
34,28.92453856
35,29
36,29.07083287
37,29.13527465
38,29.19163572
39,29.23921708
40,29.22104771
41,29.14228331
42,28.92368263
43,28.52417523
44,28.03157663
45,27.5311635
46,27.09973189
47,26.7695676
48,26.53969366
49,26.38503791
50,26.27453945
51,26.18196096
52,26.09201662
53,26
54,25.90844392
55,25.82268752
56,25.7474486
57,25.68502103
58,25.67817304
59,25.72185426
60,25.87390162
61,26.16367569
62,26.52431302
63,26.89139341
64,27.20725742
65,27.44783654
66,27.61403422
67,27.72474252
68,27.80322939
69,27.869054
70,27.93351963
71,28
72,28.06647403
73,28.12885971
74,28.18357807
75,28.22889097
76,28.24122764
77,28.22378964
78,28.14516845
79,27.98962867
80,27.79443307
81,27.59532597
82,27.42419213
83,27.2942993
84,27.20511453
85,27.14619369
86,27.1047094
87,27.06990827
88,27.03560741
89,27
90,26.9642466
91,26.93063152
92,26.90114902
93,26.87676913
94,26.89431987
95,26.95043069
96,27.09596192
97,27.35724248
98,27.67774628
99,28.00265973
100,28.28267496
101,28.4971368
102,28.64677676
103,28.7478003
104,28.82023587
105,28.88098612
106,28.93989576
107,29
108,29.05967888
109,29.11551078
110,29.16447658
111,29.20511705
112,29.29717446
113,29.4380122
114,29.71323308
115,30.16856826
116,30.71525679
117,31.26617034
118,31.74220231
119,32.10997229
120,32.37048862
121,32.5498421
122,32.68049795
123,32.79005003
124,32.8947871
125,33
126,33.10339531
127,33.19967747
128,33.28411595
129,33.35444074
130,33.36664573
131,33.32602521
132,33.17304767
133,32.87753867
134,32.50851583
135,32.13246585
136,31.80889157
137,31.56265317
138,31.39285659
139,31.28005587
140,31.20028957
141,31.13341702
142,31.06780671
143,31
144,30.93209771
145,30.86832303
146,30.81237825
147,30.76606586
148,30.73659555
