,Q_CCGT
0,25.0
1,29.0
2,26.0
3,28.0
4,27.0
5,29.0
6,33.0
7,31.0
8,31.0
9,31.0
10,32.0
11,32.0
12,35.0
13,33.0
14,33.0
15,33.0
16,31.0
17,38.0
18,35.0
19,37.0
20,38.0
21,38.0
22,39.0
23,39.0
24,39.0
25,44.0
26,40.0
27,39.0
28,43.0
29,43.0
30,44.0
31,44.0
32,43.0
33,44.0
34,44.0
35,45.0
36,45.0
37,46.0
38,49.999944
39,49.0
40,49.999944
41,49.999944
42,49.999944
43,49.999944
44,49.999944
45,49.999944
46,49.999944
47,49.999944
48,49.999944
49,49.999944
50,49.999944
51,49.999944
52,49.999944
53,49.999944
54,49.999944
55,49.999944
56,49.999944
57,49.999944
58,49.0
59,49.999944
60,49.0
61,43.0
62,43.0
63,43.0
64,38.0
65,41.0
66,37.0
67,37.0
68,35.755571108488645
69,35.59955547013057
70,35.90480543283551
71,38.844823036469734
72,40.05981978308824
73,43.0
74,42.29001911566284
75,44.0
76,49.999944
77,49.999944
78,49.999944
79,49.999944
80,49.999944
81,49.999944
82,49.999944
83,49.999944
84,49.999944
85,49.999944
86,49.999944
87,49.999944
88,49.0
89,45.0
90,38.0
91,34.0
92,28.0
93,27.0
94,26.0
95,25.028760345034673
