intervals,P_FC,g_CCGT,P_GRID,P_c,u_c,P_d,u_d,P_wcur,P_cur,Q_GB,Q_HP,Q_cur,Q_CCGT,SOC
1,7.0,1.6530018513620732,6.0,0.0,0.0,2.363847901953406,1.0,0.0,-3.552713678800501e-15,1.0,0.0,0.0,25.0,6.843375582790721
2,7.0,1.8195099390168874,6.0,0.0,1.0,0.0,0.0,0.0,-8.881784197001252e-16,1.0,1.4817316823085918,0.0,27.51826831769141,6.843375582790721
3,7.0,1.7191219254165562,6.0,0.0,0.0,0.13994034960289525,1.0,0.0,0.0,1.0,0.0,0.0,26.0,6.804503263456583
4,7.0,1.7489924941572939,6.0,0.0,1.0,0.0,0.0,0.0,-1.7763568394002505e-15,1.0,1.5482375183650845,0.0,26.451762481634916,6.804503263456583
5,7.0,1.6758156572359166,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.654963999963993,0.0,25.345036000036007,6.804503263456583
6,7.0,1.707526772821809,6.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0000000000000009,3.1753650878429545,0.0,25.824634912157045,6.804503263456583
7,5.179096888801723,1.851362073525522,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,28.0,6.804503263456583
8,6.3709771494273895,1.7191219254165562,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,26.0,6.804503263456583
9,7.0,1.7191219254165562,6.0,0.5221639146847785,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,26.0,6.921990144260659
10,7.0,1.7191219254165562,6.0,0.7460585370322441,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,26.0,7.089853315092913
11,5.033019958551069,1.7852419994710391,6.0,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,27.0,7.089853315092913
12,4.979254615221667,1.7852419994710391,6.0,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,27.0,7.089853315092913
13,4.804700605440864,1.983602221634488,6.0,3.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,30.0,7.764853315092913
14,5.04552542317867,1.851362073525522,6.0,2.15620748847591,1.0,0.0,-0.0,0.0,-7.105427357601002e-15,1.0,5.0,0.0,28.0,8.249999999999993
15,2.8893179347027598,1.851362073525522,6.0,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,28.0,8.249999999999993
16,2.8893179347027598,1.851362073525522,6.0,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,28.0,8.249999999999993
17,5.005160304446214,1.7191219254165562,6.0,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,26.0,8.249999999999993
18,0.8,2.1819624437979366,4.79971201034413,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,33.0,8.924999999999994
19,2.7734755649592984,1.983602221634488,6.0,3.0,1.0,0.0,-0.0,0.0,3.552713678800501e-15,1.0,5.0,0.0,30.0,9.599999999999994
20,0.8,2.115842369743454,5.870625412508481,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,32.0,10.274999999999995
21,0.8,2.1819624437979366,4.808434400801772,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,33.0,10.949999999999996
22,0.8,2.1819624437979366,4.819399893205357,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,33.0,11.624999999999996
23,0.8,2.2480825178524197,4.849864036025728,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,34.0,12.299999999999997
24,2.541790825472397,2.2480825178524197,6.0,3.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,34.0,12.974999999999998
25,7.0,2.2480825178524197,-1.4582091745276031,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,34.0,12.974999999999998
26,7.0,2.5786828881248343,-5.745724157648617,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,39.0,12.974999999999998
27,7.0,2.3142025919069025,-1.5161303593993267,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,35.0,12.974999999999998
28,7.0,2.2480825178524197,0.5417908254723969,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,34.0,12.974999999999998
29,7.0,2.5125628140703515,-2.6898939140145117,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,38.0,12.974999999999998
30,7.0,2.5125628140703515,-1.6836222458661325,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,38.0,12.974999999999998
31,7.0,2.5786828881248343,-1.7478150988862353,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,39.0,12.974999999999998
32,7.0,2.5786828881248343,-1.7478150988862353,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,39.0,12.974999999999998
