intervals,P_FC,g_CCGT,P_GRID,P_c,u_c,P_d,u_d,P_wcur,P_cur,Q_GB,Q_HP,Q_cur,SOC
1,7.0,1.6278297340907721,6.0,0.0,-0.0,3.0,1.0,0.0,0.0,1.0,1.050291997676002,0.0,6.666666666666667
2,7.0,1.6307116470169747,6.0,0.0,-0.0,3.0,1.0,0.0,0.0,1.0,1.388254658314878,0.0,5.833333333333334
3,7.0,1.569704094080837,6.0,0.0,-0.0,3.0000000000000018,1.0000000000000007,0.0,0.0,0.9999999999999964,2.11218457061522,0.0,5.0
4,7.0,1.6064666771746485,6.0,0.0,-0.0,2.9999999999999987,0.9999999999999996,0.0,0.0,1.0,4.786378695614648,0.0,4.166666666666667
5,6.220393210043113,1.5834999149420557,6.0,0.0,-0.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,3.3333333333333335
6,6.328480001085843,1.5873389243116809,6.0,0.0,-0.0,3.0,1.0,0.0,0.0,1.0000000000000036,5.0,0.0,2.5
7,6.878060145229451,1.745176869998789,6.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.552713678800501e-15,2.5
8,6.41966538369406,1.7160789107748893,6.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,5.0,-3.552713678800501e-15,2.5
9,5.8710087594463545,1.7195486332833605,6.0,0.0,-0.0,0.5999999999999994,1.0,0.0,0.0,1.0,5.0,0.0,2.3333333333333335
10,6.2538438681071185,1.7191280250953462,6.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.552713678800501e-15,2.3333333333333335
11,3.9372498265427502,1.7983275568413397,6.0,0.0,-0.0,0.8864012140835094,1.0,0.0,0.0,1.0,5.0,-7.105427357601002e-15,2.087110773865692
12,5.00321340313328,1.7837445752265633,6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,2.087110773865692
13,3.68342259876761,1.8646321326440523,6.0,0.0,0.0,0.024799430520228857,1.0,0.0,0.0,1.0,5.0,7.105427357601002e-15,2.0802220431656284
14,2.913598785916477,1.8498445203246647,6.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,2.0802220431656284
15,0.8,1.8516082907116662,6.0,0.0,-0.0,2.0853784597244527,1.0,0.0,0.0,1.0,5.0,-3.552713678800501e-15,1.5009502487977249
16,2.8853784597244427,1.8513944847321788,6.0,0.0,-0.0,0.0034208956718095426,1.0,0.0,0.0,1.0,5.0,1.0658141036401503e-14,1.5
17,5.421139398356701,1.6931232320471508,6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,-3.552713678800501e-15,1.5
18,0.8,1.9597194443280423,5.355600001862438,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
19,0.8,1.9916615084580453,4.84452697578239,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,-3.552713678800501e-15,1.5
20,0.8,2.1410179301998737,2.46781644520577,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,-7.105427357601002e-15,1.5
21,0.8,2.192067935943912,1.646746526466167,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
22,0.8,2.1808396434780914,1.8373646983228795,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,7.105427357601002e-15,1.5
23,0.8,2.261320529469897,1.6380558501460953,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,7.105427357601002e-15,1.5
24,0.8,2.24658218358637,4.765796173729193,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,-1.4210854715202004e-14,1.5
25,7.0,2.248339986124768,-1.4623286668851776,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,7.105427357601002e-15,1.5
26,7.0,2.3272754801661826,-1.72320563031019,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,7.105427357601002e-15,1.5
27,7.0,2.3918730619573423,-2.7588578802063637,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
28,7.0,2.5373285125717597,-4.086145090037043,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
29,7.0,2.509702792967582,-2.6441335763702014,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,7.105427357601002e-15,1.5
30,7.0,2.5921426037443123,-2.9568988806495042,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,-7.105427357601002e-15,1.5
31,7.0,2.5771668096955436,-1.7235578440175843,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
32,7.0,2.5789533776321805,-1.7521429310037746,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.5
33,7.0,2.4995882329886254,-0.4648673496316107,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,7.105427357601002e-15,1.5
34,7.0,2.5933398554026708,-0.9768153042678378,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
35,7.0,2.57702163543029,-0.7212350557735263,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,1.4210854715202004e-14,1.5
36,7.0,2.6581195426194,-1.9800630922165183,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
37,7.0,2.6433064474458297,0.23030919300934016,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,7.105427357601002e-15,1.5
38,7.0,2.724221881781981,-1.0477312628133433,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,5.0,-7.105427357601002e-15,1.5
39,7.0,2.946876623923615,-4.451792215869695,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-1.4210854715202004e-14,1.5
40,7.0,2.9049103755716685,-3.8101592603368957,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
41,7.0,2.989059795017829,-2.000510295061197,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,-7.105427357601002e-15,1.5
42,7.0,3.053025332933368,-3.0375042280637246,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-7.105427357601002e-15,1.5
43,7.0,3.1194087754828,-4.146973692570377,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-7.105427357601002e-15,1.5
44,7.0,3.1063505900139767,-5.8218024557871715,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,-7.105427357601002e-15,1.5
45,4.4294008912073455,3.306000000075525,-6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,3.4971718669366894,-7.105427357601002e-15,1.5
46,3.788273715500786,3.3060000000000205,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,2.0338450708432063,5.0,7.105427357601002e-15,1.5
47,4.706525149439756,3.3060000000000174,-6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,4.0037686765531575,5.0,0.0,1.5
48,4.156318920291106,3.3060000000000005,-6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5.001706856458121,5.0,7.105427357601002e-15,1.5
