intervals,GRID_PRICE
1,360.0
2,360.0
3,360.0
4,360.0
5,360.0
6,360.0
7,360.0
8,360.0
9,300.0
10,300.0
11,300.0
12,300.0
13,300.0
14,300.0
15,300.0
16,300.0
17,360.0
18,321.3360001117471
19,290.6716185469438
20,148.06898671234705
21,98.80479158797044
22,110.24188189937234
23,98.28335100876572
24,285.94777042375244
25,-102.36300668196243
26,-120.6243941217133
27,-193.12005161444495
28,-286.0301563025925
29,-185.0893503459136
30,-206.98292164546382
31,-120.6490490812314
32,-122.65000517026273
33,-32.54071447421275
34,-68.37707129874815
35,-50.48645390414535
36,-138.60441645515527
37,16.1216435106558
38,-73.34118839693353
39,-311.62545511087666
40,-266.7111482235827
41,-140.0357206542813
42,-212.62529596445972
43,-290.2881584799244
44,-407.52617190509903
45,-480.0
46,-480.0
47,-480.0
48,-480.0
49,-480.0
50,-480.0
51,-480.0
52,-480.0
53,-480.0
54,-480.0
55,-480.0
56,-480.0
57,-480.0
58,-480.0
59,-540.0
60,-540.0
61,-540.0
62,-176.1918104195533
63,-327.20164036662396
64,-286.3769608419057
65,105.64354966852022
66,508.53951389057477
67,496.7884173443292
68,510.0797056211021
69,540.0
70,540.0
71,540.0
72,540.0
73,570.0
74,570.0
75,570.0
76,570.0
77,22.31590096072864
78,-10.92543466723086
79,-80.68801454188588
80,-199.14531004882662
81,-373.98676903342806
82,-465.52370381108244
83,-507.9861621270684
84,-540.0
85,-540.0
86,-540.0
87,-540.0
88,-480.0
89,-480.0
90,-480.0
91,-109.63561899915135
92,135.1362156414109
93,480.0
94,480.0
95,480.0
96,480.0
