intervals,P_CCGT
1,16.045275745452358
2,16.0913863522716
3,15.1152655052934
4,15.703466834794384
5,15.335998639072923
6,15.397422788986908
7,17.92282991998065
8,17.457262572398214
9,17.51277813253377
10,17.506048401525533
11,18.773240909461432
12,18.539913203625005
13,19.83411412230484
14,19.597512325194636
15,19.625732651386656
16,19.622311755714858
17,17.0899717127544
18,21.355511109248663
19,21.866584135328722
20,24.256286883197966
21,25.07308697510259
22,24.89343429564947
23,26.181128471518356
24,25.94531493738191
25,25.97343977799629
26,27.23640768265892
27,28.269968991317477
28,30.59725620114815
29,30.155244687481314
30,31.474281659908982
31,31.234668955128704
32,31.263254042114866
33,29.993411727818007
34,31.493437686442732
35,31.232346166884618
36,32.52991268191038
37,32.292903159133246
38,33.58755010851169
39,37.15002598277781
40,36.4785660091467
41,37.82495672028523
42,38.84840532693387
43,39.91054040772478
44,39.701609440223585
45,40.992852667388426
46,42.89600000000022
47,42.89600000000019
48,42.89600000000017
49,42.896
50,42.896
51,42.896
52,42.896
53,42.896
54,42.896
55,42.896
56,41.63159227744242
57,41.86445850042603
58,41.83669003213349
59,38.67586826632454
60,39.01860998845726
61,39.380626828008126
62,34.7306408591008
63,35.582597681090235
64,35.480988769126064
65,32.9605514879093
66,29.626385517583152
67,29.00425243699162
68,29.160767123236027
69,25.343123694432002
70,26.04505528096246
71,25.961348163040228
72,29.770627005748622
73,29.06971088454698
74,35.4851811262602
75,34.30890414794573
76,36.98194469622828
77,42.830367280707414
78,41.72190613824713
79,41.85397239350915
80,42.896
81,42.896
82,42.896
83,42.896
84,42.896
85,42.896
86,42.896
87,42.896
88,38.63691853836121
89,38.01484626842751
90,35.378535128908474
91,29.14779088951377
92,25.262070864938636
93,18.45615468749198
94,18.494944844341397
95,17.30634743197463
96,14.997854943215422
