intervals,P_FC,g_CCGT,P_GRID,P_c,u_c,P_d,u_d,P_wcur,P_cur,Q_GB,Q_HP,Q_cur,SOC,Q_CCGT.1,Q_CCGT.2,Q_CCGT.3,Q_CCGT.4,Q_CCGT.5,Q_CCGT.6,Q_CCGT.7,Q_CCGT.8,Q_CCGT.9,Q_CCGT.10,Q_CCGT.11,Q_CCGT.12,Q_CCGT.13,Q_CCGT.14,Q_CCGT.15,Q_CCGT.16,Q_CCGT.17,Q_CCGT.18
1,7.0,1.6278297340907724,6.0,0,0,3.0,1,0,0.0,1.0,1.0502919976760268,0.0,6.666666666666667,25.89489187290896,24.39489187290896,22.89489187290896,24.39489187290896,24.385551377557565,23.633642426355916,22.133642426355916,21.206472310045722,20.882157976617243,21.233560449852504,21.92771881980601,22.705732868076584,23.339014488933135,23.74533540375213,23.93347701197704,23.977610546813292,23.961218474481523,23.949708002323973
2,7.0,1.630711647016975,6.0,0,0,3.0,1,0,0.0,0.999999999999998,1.3882546583149014,0.0,5.833333333333334,23.975198205454628,24.0406855949156,24.130938161544563,24.225561888013967,24.30877590327048,24.372413118980138,24.417127950112047,24.448274888152937,24.471511912681546,24.491541509837553,24.510888139005186,24.530236072883334,24.54903055490514,24.566320837987508,24.581331559815116,24.593754131457054,24.603741352484384,24.6117453416851
3,7.0,1.5697040940808376,6.0,0,0,3.0,1,0,0.0,0.9999999999999982,2.112184570615236,0.0,5.000000000000001,24.618308428223312,24.623900923799958,24.628839810471113,24.633284918689476,24.624550825479133,24.603492045841406,24.552174886656772,24.461180904399946,24.349782605354918,24.236804869370317,24.139273094169173,24.064379123100924,24.011938108934242,23.976401142071346,23.950866476922688,23.929484316942812,23.908826840223735,23.887815429384766
4,7.0,1.606466677174649,6.0,0,0,3.0,1,0,0.0,0.9999999999999991,4.786378695614663,0.0,4.166666666666668,23.866985518575106,23.847504660436872,23.83041039681619,23.816207219339873,23.812493263005152,23.818272278397867,23.843714827206156,23.893931784051173,23.956935058793093,24.02120955789069,24.07647320789029,24.118440330935897,24.147274643123886,24.16633829634823,24.179765797538423,24.191026038131803,24.20211587563939,24.213621304385338
5,6.220393210043081,1.5834999149420577,6.0,0,0,3.0,1,0,0.0,1.0,5.0,0.0,3.3333333333333344,24.225170700709548,24.236028941853576,24.245553409962174,24.253431149999585,24.25490780094638,24.25058874195098,24.23409783714821,24.202219617374038,24.162424300405267,24.121891640974848,24.08703588358394,24.06052859639042,24.042263530924345,24.030136856207065,24.021562105957084,24.014368364354215,24.00730424853671,24.0
6,6.328480001085829,1.5873389243116818,6.0,0,0,3.0,1,0,0.0,1.0,5.0,0.0,2.500000000000001,23.992684581750794,23.985814631817945,23.979789564396793,23.97480330072432,23.97163152777304,23.970043346343413,23.97093390336779,23.974686731031998,23.979947056051355,23.985461088115017,23.990142363516735,23.99354986800546,23.9957096624973,23.99697432738887,23.997766985280073,23.998433630265524,23.999163548877483,24.0
7,3.87806014522943,1.7451768699987906,6.0,0,0,3.0,1,0,0.0,1.0,5.0,0.0,1.6666666666666674,24.00089013736485,24.001747702565858,24.002499863560203,24.003110555031636,24.036522186205445,24.100533210793692,24.24154798902216,24.483995525736894,24.778139300701714,25.07544107054322,25.33202512469069,25.529436519398974,25.668270598039605,25.76296509943809,25.83143027484111,25.8888382488241,25.94408809210669,26.0
8,5.819665383694073,1.7160789107748884,6.0,0,0,0.6000000000000026,1,0,0.0,1.0,5.0,0.0,1.5,26.055219314248426,26.106756274524418,26.15195590785485,26.189538987072844,26.21364644535235,26.225941046222154,26.219516291091548,26.19136414548315,26.15169880420339,26.1100156653834,26.07457291052716,26.04874785009764,26.03237330338279,26.022794957319146,26.01681079476662,26.011794191575927,26.00630239277182,26.0
9,6.471008759446356,1.7195486332833607,6.0,0,0,0.0,0,0,0.0,1.0,5.0,0.0,1.5,25.993283032415565,25.986804195254372,25.98111697587238,25.976497339292273,25.97365958873701,25.972352054858153,25.97332197575998,25.976863855019957,25.981724582654415,25.986766205894813,25.991018173854513,25.994099441610366,25.99604918266391,25.997195531346353,25.997923716344424,25.99854447568545,25.99922482538161,26.0
10,6.253843868107129,1.7191280250953458,6.0,0,0,0.0,0,0,0.0,1.0,5.0,0.0,1.5,26.000819862142873,26.001605830505742,26.00229277951847,26.00284942801637,26.003190763123694,26.003347992058806,26.003230477316833,26.002802031298742,26.002213976717282,26.001603814135144,26.001088982249726,26.000715668572834,26.000479248573697,26.000340105250785,26.000251669550206,26.00017634149379,26.00009388477413,26.0
