intervals,step_cost
1,872.907852943132
2,873.9597511611958
3,851.6919943395056
4,865.1103371687468
5,844.0588586170511
6,847.2165073914086
7,865.0080349095367
8,885.9383649178629
9,882.7891434894299
10,879.1066920165421
11,884.7738876572656
12,882.3689877586114
13,890.8493363910064
14,872.5392301896453
15,872.7244260802805
16,872.7019764524343
17,871.0834949205064
18,883.6315972076719
19,887.6243552239225
20,906.4887912010403
21,912.8059945165205
22,911.5669403443467
23,937.9528310087039
24,979.4894396149629
25,983.8033432650503
26,1008.0494517302284
27,1013.5036547108188
28,1043.367368013044
29,1058.5191818466892
30,1083.1363199553077
31,1099.253623268566
32,1099.4054815431798
33,1092.9645264222956
34,1118.2247793972879
35,1116.741283456019
36,1124.312528942292
37,1157.587264195391
38,1164.7556897511895
39,1186.4536039543996
40,1182.3645000277634
41,1244.7478950179366
42,1249.947922529564
43,1254.7621634312404
44,1220.686422378826
45,1226.6052395008878
46,1321.5460400132197
47,1464.8013855613704
48,1529.4505853369935
49,1527.1507696693734
50,1512.8746595580096
51,1521.1261235227757
52,1351.2881338607085
53,1347.251954310895
54,1191.200325713917
55,1190.5198299463866
56,1183.3445131499316
57,1168.221542298574
58,1181.6020518437565
59,1164.168244825529
60,1171.9870403616815
61,1180.2455495139354
62,1165.1197919933495
63,1146.802599508215
64,1154.690816085211
65,1195.198468235061
66,1219.8617980925087
67,1202.731613054953
68,1209.6249264040962
69,1335.6444764701885
70,1319.1453969558863
71,1332.4847353338769
72,1393.1724613358645
73,1459.168571783436
74,1386.8145843974908
75,1470.6944877429214
76,1430.7774687701942
77,1399.5217288313195
78,1365.9246251119544
79,1351.4967415914568
80,1345.6536724877933
81,1302.8565585261438
82,1654.2303233519165
83,1643.5638425202558
84,1701.9237872473905
85,1474.6657197317363
86,1464.7122001677772
87,1226.5549047386312
88,1178.2797041563654
89,1164.0886804985025
90,1103.947832628225
91,1054.400074917245
92,1026.9500455167647
93,1061.0334948965806
94,1006.6013712795221
95,954.9539266409395
96,984.7565036771744
